Balance,RiskBudget,MeanDistortion,MedianDistortion,MaxDistortion,MinDistortion,PctTradesDistorted,MeanActualRiskPct,MaxActualRiskPct,MarginPassPct,Executable
490,2.45,5.266104702750669,4.52367346938779,14.072244897959127,1.1742857142858805,100.0,2.6330523513753343,7.0361224489795635,100.0,True
500,2.5,5.160782608695655,4.433200000000034,13.790799999999944,1.150800000000163,100.0,2.5803913043478275,6.895399999999972,100.0,True
510,2.5500000000000003,5.059590792838878,4.346274509803955,13.52039215686269,1.1282352941178069,100.0,2.529795396419439,6.760196078431345,100.0,True
520,2.6,4.962290969899669,4.2626923076923395,13.260384615384563,1.1065384615386182,100.0,2.4811454849498347,6.6301923076922815,100.0,True
530,2.65,4.868662838392128,4.182264150943428,13.01018867924523,1.0856603773586442,100.0,2.434331419196064,6.505094339622615,100.0,True
540,2.7,4.778502415458941,4.104814814814846,12.769259259259208,1.0655555555557064,100.0,2.3892512077294703,6.384629629629604,100.0,True
550,2.75,4.691620553359686,4.030181818181848,12.537090909090859,1.0461818181819662,100.0,2.345810276679843,6.268545454545429,100.0,True
560,2.8000000000000003,4.607841614906835,3.9582142857143157,12.313214285714235,1.0275000000001455,100.0,2.3039208074534177,6.156607142857117,100.0,True
570,2.85,4.5270022883295225,3.888771929824591,12.097192982456093,1.0094736842106693,100.0,2.2635011441647612,6.0485964912280465,100.0,True
580,2.9,4.448950524737634,3.821724137931063,11.888620689655124,0.992068965517382,99.86824769433466,2.224475262368817,5.944310344827562,100.0,True
590,2.95,4.373544583640387,3.7569491525424015,11.68711864406775,0.9752542372882737,99.86824769433466,2.1867722918201933,5.843559322033875,100.0,True
600,3.0,4.300652173913046,3.6943333333333612,11.492333333333288,0.9590000000001357,99.86824769433466,2.150326086956523,5.746166666666644,100.0,True
610,3.0500000000000003,4.230149679258734,3.6337704918033067,11.303934426229462,0.9432786885247237,99.86824769433466,2.115074839629367,5.651967213114731,100.0,True
620,3.1,4.161921458625528,3.5751612903226078,11.121612903225762,0.9280645161291636,99.86824769433466,2.080960729312764,5.560806451612881,100.0,True
630,3.15,4.09585921325052,3.5184126984127246,10.945079365079321,0.9133333333334628,99.4729907773386,2.04792960662526,5.472539682539661,100.0,True
640,3.2,4.031861413043481,3.4634375000000257,10.774062499999957,0.8990625000001273,99.34123847167325,2.0159307065217407,5.387031249999978,100.0,True
650,3.25,3.9698327759197354,3.4101538461538716,10.608307692307651,0.8852307692308946,99.07773386034255,1.9849163879598677,5.304153846153826,100.0,True
660,3.3000000000000003,3.909683794466406,3.3584848484848737,10.447575757575715,0.8718181818183053,99.07773386034255,1.954841897233203,5.223787878787857,100.0,True
670,3.35,3.8513303049967584,3.3083582089552492,10.291641791044736,0.8588059701493754,98.81422924901186,1.9256651524983792,5.145820895522368,100.0,True
680,3.4,3.7946930946291584,3.259705882352966,10.140294117647018,0.8461764705883551,98.68247694334651,1.8973465473145792,5.070147058823509,100.0,True
690,3.45,3.7396975425330843,3.212463768115966,9.993333333333293,0.8339130434783789,98.68247694334651,1.8698487712665421,4.996666666666647,100.0,True
700,3.5,3.6862732919254686,3.166571428571453,9.850571428571389,0.8220000000001164,98.55072463768117,1.8431366459627343,4.925285714285694,100.0,True
710,3.5500000000000003,3.634353949785673,3.121971830985939,9.711830985915453,0.8104225352113824,98.41897233201581,1.8171769748928366,4.855915492957727,100.0,True
720,3.6,3.5838768115942052,3.0786111111111345,9.576944444444406,0.7991666666667798,98.41897233201581,1.7919384057971026,4.788472222222203,100.0,True
730,3.65,3.5347826086956546,3.036438356164407,9.445753424657497,0.7882191780823035,98.41897233201581,1.7673913043478273,4.722876712328748,100.0,True
740,3.7,3.487015276145713,2.9954054054054278,9.31810810810807,0.7775675675676776,97.89196310935442,1.7435076380728565,4.659054054054035,100.0,True
750,3.75,3.440521739130437,2.955466666666689,9.19386666666663,0.7672000000001087,97.49670619235836,1.7202608695652184,4.596933333333315,100.0,True
760,3.8000000000000003,3.395251716247142,2.916578947368443,9.072894736842068,0.757105263158002,97.23320158102767,1.697625858123571,4.536447368421034,100.0,True
770,3.85,3.3511575381140624,2.8787012987013205,8.955064935064899,0.7472727272728331,96.96969696969697,1.6755787690570312,4.477532467532449,100.0,True
780,3.9,3.308193979933113,2.8417948717948933,8.840256410256375,0.7376923076924122,96.83794466403161,1.6540969899665565,4.420128205128187,100.0,True
790,3.95,3.266318106769402,2.8058227848101476,8.728354430379712,0.7283544303798499,96.70619235836627,1.633159053384701,4.364177215189856,100.0,True
800,4.0,3.225489130434785,2.770750000000021,8.619249999999965,0.7192500000001019,96.70619235836627,1.6127445652173924,4.309624999999983,100.0,True
810,4.05,3.1856682769726268,2.736543209876564,8.512839506172805,0.7103703703704709,96.44268774703558,1.5928341384863134,4.256419753086402,100.0,True
820,4.1,3.1468186638388143,2.7031707317073375,8.409024390243868,0.70170731707327,96.44268774703558,1.5734093319194071,4.204512195121934,100.0,True
830,4.15,3.108905185961238,2.6706024096385743,8.30771084337346,0.6932530120482909,96.44268774703558,1.554452592980619,4.15385542168673,100.0,True
840,4.2,3.0718944099378906,2.6388095238095435,8.20880952380949,0.685000000000097,96.17918313570487,1.5359472049689453,4.104404761904745,100.0,True
850,4.25,3.0357544757033272,2.6077647058823725,8.112235294117614,0.6769411764706841,96.04743083003953,1.5178772378516636,4.056117647058807,100.0,True
860,4.3,3.0004550050556142,2.577441860465136,8.017906976744154,0.6690697674419552,96.04743083003953,1.5002275025278071,4.008953488372077,100.0,True
870,4.3500000000000005,2.965967016491756,2.5478160919540422,7.925747126436749,0.6613793103449213,96.04743083003953,1.482983508245878,3.9628735632183747,100.0,True
880,4.4,2.932262845849804,2.5188636363636556,7.835681818181786,0.653863636363729,95.78392621870883,1.466131422924902,3.917840909090893,100.0,True
